,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
49,"Platelet activation, signaling and aggregation",Complex I biogenesis,Oncogenic MAPK signaling,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Metabolism of lipids,Transport of small molecules,Cytoprotection by HMOX1,Apoptosis,Metabolism of water-soluble vitamins and cofactors,Resolution of Abasic Sites (AP sites),Cristae formation,Interleukin-12 family signaling,Metabolism of proteins,Metabolism of proteins,Peroxisomal lipid metabolism,Transcriptional Regulation by TP53,Transcriptional Regulation by TP53,Cytosolic tRNA aminoacylation,Pyruvate metabolism and Citric Acid (TCA) cycle,
50,Protein localization,Disease,RAF activation,Citric acid cycle (TCA cycle),Immune System,Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization,Apoptotic factor-mediated response,Programmed Cell Death,Metabolism of vitamins and cofactors,PCNA-Dependent Long Patch Base Excision Repair,Vitamins,Signal Transduction,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,Organelle biogenesis and maintenance,Apoptosis,Cristae formation,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Peroxisomal protein import,
51,Metabolism of lipids,Metabolism of RNA,Signaling downstream of RAS mutants,Beta oxidation of butanoyl-CoA to acetyl-CoA,Reversible hydration of carbon dioxide,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Intrinsic Pathway for Apoptosis,Transcriptional Regulation by TP53,Defective HLCS causes multiple carboxylase deficiency,POLB-Dependent Long Patch Base Excision Repair,Vitamin D (calciferol) metabolism,Intrinsic Pathway for Apoptosis,"SMAC, XIAP-regulated apoptotic response","SMAC, XIAP-regulated apoptotic response",Diseases of programmed cell death,Programmed Cell Death,Regulation of pyruvate dehydrogenase (PDH) complex,RHO GTPase cycle,Intrinsic Pathway for Apoptosis,
52,Cytoprotection by HMOX1,Signaling by Nuclear Receptors,Paradoxical activation of RAF signaling by kinase inactive BRAF,Mitochondrial tRNA aminoacylation,Deubiquitination,Interactions of Vpr with host cellular proteins,Cytochrome c-mediated apoptotic response,Fatty acyl-CoA biosynthesis,Defects in biotin (Btn) metabolism,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,Mitochondrial protein import,Threonine catabolism,SMAC (DIABLO) binds to IAPs ,SMAC (DIABLO) binds to IAPs ,Mitochondrial biogenesis,Peroxisomal protein import,Pyruvate metabolism,Signaling by Rho GTPases,Scavenging by Class A Receptors,
53,Formation of apoptosome,FOXO-mediated transcription,Signaling by moderate kinase activity BRAF mutants,tRNA Aminoacylation,Post-translational protein modification,"Transport of vitamins, nucleosides, and related molecules",Apoptosis,Activation of gene expression by SREBF (SREBP),Biotin transport and metabolism,Base Excision Repair,Activation of BH3-only proteins,Detoxification of Reactive Oxygen Species,Activation of caspases through apoptosome-mediated cleavage,Activation of caspases through apoptosome-mediated cleavage,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Signal Transduction,TP53 Regulates Metabolic Genes,Signaling by GPCR,Binding and Uptake of Ligands by Scavenger Receptors,
54,Fatty acid metabolism,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Signaling by RAS mutants,Regulation of pyruvate dehydrogenase (PDH) complex,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,SLC-mediated transmembrane transport,Programmed Cell Death,Regulation of cholesterol biosynthesis by SREBP (SREBF),Defects in vitamin and cofactor metabolism,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,Defective CYP27B1 causes VDDR1A,Phase I - Functionalization of compounds,Post-translational protein modification,Death Receptor Signalling,Neurodegenerative Diseases,Organelle biogenesis and maintenance,Metabolism of proteins,RHOG GTPase cycle,Golgi Associated Vesicle Biogenesis,
55,Transport of small molecules,Neurodegenerative Diseases,RAF/MAP kinase cascade,Pyruvate metabolism,Interleukin-12 signaling,Host Interactions of HIV factors,Mitochondrial biogenesis,Beta-oxidation of pristanoyl-CoA,Diseases of metabolism,Ub-specific processing proteases,Signaling by Nuclear Receptors,Metabolism of lipids,Cristae formation,Platelet degranulation ,Metabolism of vitamins and cofactors,Mitochondrial biogenesis,Metabolism of water-soluble vitamins and cofactors,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,trans-Golgi Network Vesicle Budding,
56,Formation of ATP by chemiosmotic coupling,Diseases of programmed cell death,MAPK1/MAPK3 signaling,Mitochondrial translation,Interleukin-12 family signaling,HIV Infection,Transcriptional activation of mitochondrial biogenesis,Neutrophil degranulation,Mitochondrial Fatty Acid Beta-Oxidation,Deubiquitination,Neutrophil degranulation,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,Response to elevated platelet cytosolic Ca2+,Diseases of metabolism,Hemostasis,Intrinsic Pathway for Apoptosis,TP53 Regulates Transcription of Cell Death Genes,Membrane Trafficking,
57,Cristae formation,Cristae formation,MAPK family signaling cascades,Glyoxylate metabolism and glycine degradation,Signaling by Interleukins,Cristae formation,Organelle biogenesis and maintenance,Innate Immune System,Fatty acid metabolism,Post-translational protein modification,Cytoprotection by HMOX1,Amine Oxidase reactions,Selective autophagy,"Platelet activation, signaling and aggregation",Cytoprotection by HMOX1,Integration of energy metabolism,Regulation of FOXO transcriptional activity by acetylation,Peptide ligand-binding receptors,Vesicle-mediated transport,
58,Mitochondrial calcium ion transport,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Diseases of signal transduction by growth factor receptors and second messengers,Immune System,Cytokine Signaling in Immune system,Fatty acid metabolism,Formation of apoptosome,Immune System,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Mitochondrial translation termination,Peptide ligand-binding receptors,Transcriptional Regulation by TP53,Macroautophagy,Estrogen-dependent gene expression,Lysine catabolism,Pyruvate metabolism and Citric Acid (TCA) cycle,Signaling by Nuclear Receptors,Class A/1 (Rhodopsin-like receptors),Synthesis of 12-eicosatetraenoic acid derivatives,
59,Processing of SMDT1,tRNA modification in the mitochondrion,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,Protein localization,Metabolism of nucleotides,Choline catabolism,Translation,Conjugation of salicylate with glycine,mitochondrial fatty acid beta-oxidation of saturated fatty acids,Mitochondrial translation,Class A/1 (Rhodopsin-like receptors),The citric acid (TCA) cycle and respiratory electron transport,Autophagy,ESR-mediated signaling,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,ChREBP activates metabolic gene expression,Apoptotic factor-mediated response,GPCR ligand binding,Synthesis of 15-eicosatetraenoic acid derivatives,
60,Metabolism of amino acids and derivatives,tRNA processing,"SMAC, XIAP-regulated apoptotic response",Signaling by Retinoic Acid,Pyrimidine salvage,Lysine catabolism,Mitochondrial tRNA aminoacylation,Amino Acid conjugation,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Translation,GPCR ligand binding,Diseases of programmed cell death,Estrogen-dependent gene expression,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Intrinsic Pathway for Apoptosis,Cytochrome c-mediated apoptotic response,Respiratory electron transport,Synthesis of 5-eicosatetraenoic acids,
61,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,Creatine metabolism,SMAC (DIABLO) binds to IAPs ,Signaling by Nuclear Receptors,Nucleotide salvage,Creatine metabolism,tRNA Aminoacylation,Conjugation of carboxylic acids,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Influenza Virus Induced Apoptosis,Iron uptake and transport,Organelle biogenesis and maintenance,ESR-mediated signaling,Extra-nuclear estrogen signaling,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Diseases of programmed cell death,Synthesis of 12-eicosatetraenoic acid derivatives,Mitochondrial biogenesis,Arachidonic acid metabolism,
62,"SMAC, XIAP-regulated apoptotic response","Activation, translocation and oligomerization of BAX",Activation of caspases through apoptosome-mediated cleavage,Mitochondrial translation initiation,Fatty acid metabolism,Influenza Virus Induced Apoptosis,Pyroptosis,Conjugation of benzoate with glycine,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Influenza Infection,Peroxisomal lipid metabolism,Mitochondrial biogenesis,Mitochondrial iron-sulfur cluster biogenesis,Apoptotic execution phase,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Synthesis of 15-eicosatetraenoic acid derivatives,Organelle biogenesis and maintenance,Pyroptosis,
63,SMAC (DIABLO) binds to IAPs ,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,Metabolism of lipids,Cytokine Signaling in Immune system,Signal Transduction,Influenza Infection,Regulated Necrosis,Biological oxidations,Beta oxidation of butanoyl-CoA to acetyl-CoA,Immune System,Translation,Fatty acid metabolism,Release of apoptotic factors from the mitochondria,Caspase activation via extrinsic apoptotic signalling pathway,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Neurodegenerative Diseases,Synthesis of 5-eicosatetraenoic acids,Hemostasis,Apoptotic factor-mediated response,
64,Activation of caspases through apoptosome-mediated cleavage,NTRK3 as a dependence receptor,Regulation of the apoptosome activity,Mitochondrial protein import,Hemostasis,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Release of apoptotic factors from the mitochondria,Phase II - Conjugation of compounds,Metabolism of lipids,Signaling by Interleukins,Activation of BAD and translocation to mitochondria ,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,Metabolism of porphyrins,Beta-oxidation of very long chain fatty acids,TP53 Regulates Metabolic Genes,Arachidonic acid metabolism,Phase I - Functionalization of compounds,Regulated Necrosis,
65,Transcription from mitochondrial promoters,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Signaling by Interleukins,Creatine metabolism,Neurodegenerative Diseases,TYSND1 cleaves peroxisomal proteins,cGMP effects,Reversible hydration of carbon dioxide,Cytokine Signaling in Immune system,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,Neurodegenerative Diseases,Extra-nuclear estrogen signaling,Heme biosynthesis,Transcriptional activation of mitochondrial biogenesis,Mitochondrial Fatty Acid Beta-Oxidation,Mitochondrial translation,Biological oxidations,Cytochrome c-mediated apoptotic response,
66,Mitochondrial transcription initiation,Signaling by NTRK3 (TRKC),FOXO-mediated transcription,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Protein localization,Diseases of programmed cell death,Regulation of the apoptosome activity,Nitric oxide stimulates guanylate cyclase,Immune System,Regulation of Apoptosis,Extra-nuclear estrogen signaling,Protein localization,Formation of apoptosome,Metabolism of steroids,Choline catabolism,Synthesis of PC,Mitochondrial translation initiation,Urea cycle,Signaling by GPCR,
67,Mitochondrial tRNA aminoacylation,TP53 Regulates Transcription of Cell Death Genes,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Lysine catabolism,Metabolic disorders of biological oxidation enzymes,Formation of ATP by chemiosmotic coupling,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,G alpha (s) signalling events,Glutamate and glutamine metabolism,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Estrogen-dependent gene expression,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Caspase activation via extrinsic apoptotic signalling pathway,Interleukin-4 and Interleukin-13 signaling,Beta oxidation of myristoyl-CoA to lauroyl-CoA,Citric acid cycle (TCA cycle),Translation,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,Regulation of pyruvate dehydrogenase (PDH) complex,
